timestamp	position_rotation	position_translation
2026-03-03 06:10:00.219+00	{0,0,0.9956452,-0.093223564}	{-95.62695,95.042564,1.89}
2026-03-03 06:10:00.674+00	{0,0,0.9988656,-0.047618773}	{-95.668465,95.46955,1.89}
2026-03-03 06:10:00.968+00	{0,0,0.99938875,-0.034958288}	{-95.65023,95.8006,1.89}
2026-03-03 06:10:01.208+00	{0,0,0.9995822,-0.028904678}	{-95.64956,96.13173,1.89}
2026-03-03 06:10:01.787+00	{0,0,0.99932426,-0.036755603}	{-95.703094,96.449615,1.89}
2026-03-03 06:10:02.905+00	{0,0,0.9958735,0.09075207}	{-95.39248,96.0918,1.89}
2026-03-03 06:10:03.17+00	{0,0,0.99378854,0.11128503}	{-95.10114,95.78042,1.89}
2026-03-03 06:10:03.369+00	{0,0,0.9827541,0.18491706}	{-94.97574,95.4177,1.89}
2026-03-03 06:10:03.405+00	{0,0,0.97857934,0.20586999}	{-94.970024,94.85111,1.89}
2026-03-03 06:10:03.557+00	{0,0,0.9694527,0.2452783}	{-94.64551,94.31462,1.89}
2026-03-03 06:10:03.785+00	{0,0,0.95400333,0.29979602}	{-94.519394,93.92884,1.89}
2026-03-03 06:10:04.052+00	{0,0,0.9249608,0.38006255}	{-94.541145,93.420815,1.89}
2026-03-03 06:10:04.35+00	{0,0,0.9052488,0.42488185}	{-94.69018,93.04446,1.89}
2026-03-03 06:10:04.618+00	{0,0,0.8900424,0.45587772}	{-94.940285,92.68263,1.89}
2026-03-03 06:10:04.929+00	{0,0,0.8823649,0.47056577}	{-95.26109,92.412674,1.89}
2026-03-03 06:10:05.273+00	{0,0,0.883066,0.4692487}	{-95.52435,92.23497,1.89}
2026-03-03 06:10:07.167+00	{0,0,0.884614,0.46632394}	{-95.28021,92.42945,1.89}
2026-03-03 06:10:07.411+00	{0,0,0.88594836,0.46378386}	{-94.98373,92.64926,1.89}
2026-03-03 06:10:07.631+00	{0,0,0.88840044,0.4590693}	{-94.71104,92.88271,1.89}
2026-03-03 06:10:07.869+00	{0,0,0.8958131,0.44443095}	{-94.39307,93.1809,1.89}
2026-03-03 06:10:08.077+00	{0,0,0.9045211,0.42642888}	{-94.16697,93.3888,1.89}
2026-03-03 06:10:08.334+00	{0,0,0.9131392,0.4076478}	{-93.95105,93.68199,1.89}
2026-03-03 06:10:08.73+00	{0,0,0.917966,0.39665908}	{-93.71072,93.961266,1.89}
2026-03-03 06:10:09.819+00	{0,0,0.9350031,0.3546395}	{-94.07259,93.822845,1.89}
2026-03-03 06:10:10.062+00	{0,0,0.9533127,0.30198485}	{-94.38526,93.71026,1.89}
2026-03-03 06:10:10.416+00	{0,0,0.9736466,0.22806203}	{-94.758644,93.61729,1.89}
2026-03-03 06:10:10.54+00	{0,0,0.9874077,0.15819606}	{-95.07875,93.52181,1.89}
2026-03-03 06:10:10.755+00	{0,0,0.99725395,0.07405782}	{-95.38857,93.4013,1.89}
2026-03-03 06:10:10.934+00	{0,0,0.9997895,-0.020519327}	{-95.68557,93.27398,1.89}
2026-03-03 06:10:11.141+00	{0,0,0.992408,-0.12298948}	{-96.014626,93.074615,1.89}
2026-03-03 06:10:11.322+00	{0,0,0.97245294,-0.23309934}	{-96.31369,92.8108,1.89}
2026-03-03 06:10:11.578+00	{0,0,0.9487467,-0.31603765}	{-96.526115,92.59465,1.89}
2026-03-03 06:10:11.666+00	{0,0,0.9078766,-0.41923746}	{-96.680214,92.258896,1.89}
2026-03-03 06:10:11.913+00	{0,0,0.85238993,-0.5229067}	{-96.82597,91.876144,1.89}
2026-03-03 06:10:12.08+00	{0,0,0.78983647,-0.61331755}	{-96.89885,91.51177,1.89}
2026-03-03 06:10:12.312+00	{0,0,0.72602236,-0.6876711}	{-97.00421,91.21213,1.89}
2026-03-03 06:10:12.468+00	{0,0,0.67030936,-0.74208176}	{-96.912056,90.92072,1.89}
2026-03-03 06:10:13.862+00	{0,0,0.73095244,-0.6824284}	{-97.067566,91.19638,1.89}
2026-03-03 06:10:14.22+00	{0,0,0.8045765,-0.593849}	{-97.23195,91.59359,1.89}
2026-03-03 06:10:14.565+00	{0,0,0.8298037,-0.55805546}	{-97.37696,91.87534,1.89}
2026-03-03 06:10:14.997+00	{0,0,0.88143885,-0.47229818}	{-97.4377,92.224335,1.89}
2026-03-03 06:10:15.067+00	{0,0,0.8818802,-0.47147357}	{-97.86466,92.683655,1.89}
2026-03-03 06:10:18.167+00	{0,0,0.9131431,-0.40763924}	{-97.982025,92.96586,1.89}
2026-03-03 06:10:23.18+00	{0,0,0.9121131,-0.40993866}	{-97.908844,93.08459,1.89}
2026-03-03 06:10:28.183+00	{0,0,0.91214204,-0.40987432}	{-97.91318,93.1044,1.89}
2026-03-03 06:10:33.264+00	{0,0,0.91044295,-0.41363463}	{-97.91083,93.07856,1.89}
2026-03-03 06:10:34.469+00	{0,0,0.86683774,-0.49859038}	{-97.99171,92.709854,1.89}
2026-03-03 06:10:35.039+00	{0,0,0.8246105,-0.565701}	{-98.14884,92.31446,1.89}
2026-03-03 06:10:35.271+00	{0,0,0.7774579,-0.62893504}	{-98.1635,91.99535,1.89}
2026-03-03 06:10:35.551+00	{0,0,0.7237596,-0.6900522}	{-98.10122,91.673386,1.89}
2026-03-03 06:10:35.74+00	{0,0,0.678246,-0.73483485}	{-97.94589,91.41638,1.89}
2026-03-03 06:10:35.956+00	{0,0,0.6285319,-0.77778375}	{-97.71613,91.1807,1.89}
2026-03-03 06:10:36.122+00	{0,0,0.5788112,-0.8154615}	{-97.38474,91.03156,1.89}
2026-03-03 06:10:36.329+00	{0,0,0.53748107,-0.8432758}	{-97.05275,90.97687,1.89}
2026-03-03 06:10:36.552+00	{0,0,0.5074704,-0.8616691}	{-96.66054,90.97664,1.89}
2026-03-03 06:10:36.711+00	{0,0,0.48981005,-0.87182915}	{-96.366486,91.082405,1.89}
2026-03-03 06:10:36.889+00	{0,0,0.47150618,-0.88186276}	{-96.00703,91.25152,1.89}
2026-03-03 06:10:37.014+00	{0,0,0.46525866,-0.88517475}	{-95.63318,91.409966,1.89}
2026-03-03 06:10:37.219+00	{0,0,0.4646975,-0.8854695}	{-95.33948,91.57999,1.89}
2026-03-03 06:10:37.435+00	{0,0,0.471776,-0.8817184}	{-95.08818,91.76828,1.89}
2026-03-03 06:10:37.671+00	{0,0,0.4905382,-0.87141967}	{-94.74594,92.02331,1.89}
2026-03-03 06:10:37.8+00	{0,0,0.5213248,-0.8533583}	{-94.50528,92.37038,1.89}
2026-03-03 06:10:37.938+00	{0,0,0.54305327,-0.83969826}	{-94.160835,92.60885,1.89}
2026-03-03 06:10:38.338+00	{0,0,0.59422696,-0.8042973}	{-93.83351,92.883095,1.89}
2026-03-03 06:10:38.476+00	{0,0,0.6154477,-0.78817767}	{-93.55301,93.08265,1.89}
2026-03-03 06:10:38.589+00	{0,0,0.6371082,-0.77077436}	{-93.21861,93.236275,1.89}
2026-03-03 06:10:38.781+00	{0,0,0.8128982,-0.5824058}	{-92.917496,97.5661,1.89}
2026-03-03 06:10:38.879+00	{0,0,0.8286809,-0.5597214}	{-92.31306,97.45378,1.89}
2026-03-03 06:10:39.033+00	{0,0,0.8445615,-0.53545856}	{-91.97867,97.332306,1.89}
2026-03-03 06:10:39.137+00	{0,0,0.85868305,-0.512507}	{-91.622635,97.26655,1.89}
2026-03-03 06:10:39.408+00	{0,0,0.87990123,-0.4751567}	{-91.185165,97.2245,1.89}
2026-03-03 06:10:39.879+00	{0,0,0.92386496,-0.38271868}	{-90.80373,96.92802,1.89}
2026-03-03 06:10:40.08+00	{0,0,0.93392205,-0.3574768}	{-90.653564,96.64109,1.89}
2026-03-03 06:10:40.595+00	{0,0,0.9584591,-0.28523007}	{-90.277756,96.30472,1.89}
2026-03-03 06:10:41.131+00	{0,0,0.9691545,-0.24645402}	{-90.03933,96.03441,1.89}
2026-03-03 06:10:41.302+00	{0,0,0.97207403,-0.23467457}	{-89.91561,95.71275,1.89}
2026-03-03 06:10:41.601+00	{0,0,0.973625,-0.22815421}	{-89.70048,95.35981,1.89}
2026-03-03 06:10:41.872+00	{0,0,0.97219884,-0.23415673}	{-89.53462,95.07594,1.89}
2026-03-03 06:10:42.004+00	{0,0,0.9717012,-0.23621339}	{-89.38653,94.76238,1.89}
2026-03-03 06:10:42.212+00	{0,0,0.9706256,-0.24059509}	{-89.24157,94.44036,1.89}
2026-03-03 06:10:42.359+00	{0,0,0.9698022,-0.24389295}	{-89.092766,94.15002,1.89}
2026-03-03 06:10:42.603+00	{0,0,0.96876943,-0.24796334}	{-88.878456,93.72354,1.89}
2026-03-03 06:10:42.961+00	{0,0,0.96877044,-0.24795936}	{-88.70502,93.42546,1.89}
2026-03-03 06:10:43.134+00	{0,0,0.9696079,-0.24466427}	{-88.53464,93.13519,1.89}
2026-03-03 06:10:43.809+00	{0,0,0.9709029,-0.2394735}	{-88.387405,92.87246,1.89}
2026-03-03 06:10:47.148+00	{0,0,0.9674523,-0.2530536}	{-88.57804,93.14997,1.89}
2026-03-03 06:10:47.472+00	{0,0,0.961252,-0.2756713}	{-88.794304,93.37229,1.89}
2026-03-03 06:10:47.76+00	{0,0,0.9471098,-0.32090968}	{-89.16728,93.67024,1.89}
2026-03-03 06:10:47.984+00	{0,0,0.9284812,-0.37137932}	{-89.45675,93.80459,1.89}
2026-03-03 06:10:48.265+00	{0,0,0.90874344,-0.4173552}	{-89.8161,93.94163,1.89}
2026-03-03 06:10:48.564+00	{0,0,0.8929496,-0.4501567}	{-90.15743,93.99615,1.89}
2026-03-03 06:10:48.834+00	{0,0,0.8666564,-0.49890548}	{-90.60409,94.07001,1.89}
