Time_s,X,Y,Z,Rotation_Rad,Has_Load
9.150,-28.040,0.000,-8.231,4.721,false
9.660,-33.150,0.000,-8.187,4.721,false
10.160,-39.150,0.000,-8.135,4.721,false
10.670,-45.159,0.000,-7.027,4.821,false
11.170,-51.125,0.000,-6.374,4.821,false
11.670,-57.114,0.000,-6.397,4.671,false
12.171,-63.092,0.000,-5.988,4.821,false
12.680,-69.202,0.000,-5.844,4.721,false
13.180,-75.204,0.000,-5.790,4.721,false
13.690,-81.322,0.000,-5.736,4.721,false
14.200,-87.443,0.000,-5.681,4.721,false
14.710,-93.562,0.000,-5.627,4.721,false
15.210,-99.562,0.000,-5.573,4.721,false
15.710,-105.563,0.000,-5.520,4.721,false
16.220,-111.682,0.000,-5.469,4.696,false
16.730,-116.173,0.000,-9.000,3.421,false
17.230,-114.602,0.000,-14.581,2.621,false
17.740,-109.893,0.000,-18.013,1.797,false
18.241,-104.042,0.000,-19.355,1.772,false
18.750,-98.048,0.000,-20.575,1.772,false
19.250,-92.054,0.000,-20.792,1.597,false
19.750,-86.056,0.000,-20.947,1.597,false
20.250,-80.058,0.000,-21.101,1.597,false
20.760,-73.941,0.000,-21.259,1.597,false
21.260,-67.942,0.000,-21.413,1.597,false
21.770,-61.825,0.000,-21.571,1.597,false
22.270,-55.827,0.000,-21.725,1.597,false
22.770,-49.829,0.000,-21.880,1.597,false
23.270,-43.833,0.000,-21.972,1.447,false
23.771,-39.310,0.000,-18.351,0.472,false
24.280,-39.897,0.000,-12.506,5.705,false
24.781,-44.798,0.000,-9.138,5.229,false
25.290,-50.704,0.000,-8.074,4.730,false
25.790,-56.702,0.000,-7.962,4.755,false
26.301,-62.742,0.000,-6.969,4.880,false
26.801,-68.658,0.000,-5.976,4.831,false
27.301,-74.657,0.000,-5.849,4.730,false
27.801,-80.657,0.000,-5.741,4.730,false
28.311,-86.730,0.000,-6.302,4.555,false
28.820,-92.818,0.000,-6.876,4.630,false
29.321,-98.806,0.000,-7.109,4.780,false
29.831,-104.911,0.000,-6.692,4.780,false
30.340,-111.014,0.000,-6.276,4.780,false
30.841,-116.208,0.000,-8.691,3.930,false
31.351,-119.498,0.000,-13.682,3.405,false
31.861,-121.422,0.000,-19.453,3.780,false
32.371,-125.730,0.000,-23.796,3.930,false
32.871,-129.989,0.000,-28.028,3.930,false
33.381,-132.393,0.000,-33.485,3.355,false
33.881,-132.305,0.000,-39.359,2.880,false
34.381,-130.376,0.000,-44.998,2.479,false
34.891,-126.383,0.000,-49.634,2.430,false
35.401,-121.433,0.000,-53.173,2.130,false
35.911,-115.670,0.000,-55.041,1.656,false
36.411,-110.887,0.000,-52.095,0.406,false
36.911,-109.186,0.000,-46.383,6.240,false
37.421,-111.749,0.000,-40.954,5.415,false
37.921,-116.832,0.000,-37.767,5.265,false
38.431,-121.549,0.000,-34.008,5.740,false
38.941,-123.394,0.000,-28.375,0.208,false
39.451,-119.076,0.000,-24.637,1.482,false
39.951,-113.079,0.000,-24.431,1.632,false
40.451,-107.373,0.000,-26.249,1.906,false
40.951,-101.762,0.000,-28.349,2.132,false
41.451,-97.189,0.000,-32.232,2.282,false
41.961,-92.192,0.000,-35.696,2.033,false
42.471,-86.420,0.000,-35.933,1.007,false
42.971,-84.389,0.000,-30.695,6.040,false
43.481,-88.781,0.000,-26.884,5.066,false
43.991,-94.661,0.000,-25.316,4.840,false
44.491,-100.614,0.000,-24.550,4.840,false
